review,num_stars
"If you are looking for some hearty Chinese dishes, @min_xiao_min is a relatively new restaurant that may be able to satisfy your cravings! We tried some of their speciality items and here were my favourites:
Fried Pork In Spring Rolls ($7.80) - I have eaten many Ngoh Hiang in my life, and these hit different � they were very freshly fried, and the meat filling within was very meaty and flavourful. Definitely loved it with their sweet chilli sauce. Not sure if that's the original portion though, as its expensive for 2 rolls.
Tenderised Pork Knuckles in Vinegar ($18.80) - a classic Chinese dish, this was a good rendition. The meat itself was tender, and the skin and fat just melted in the mouth. It can get really rich and surfeiting, so it's best to get some rice for the gravy and share this dish.
Their dishes were definitely decent and worth a visit if you are nearby! Prices were relatively affordable too considering the Clarke Quay area. Thank you @foodleaguesg for the invite and @min_xiao_min for the food! Do follow them for updates!",4
"Recently been to @modcafesg and we fell in love with the cozy vibe and I especially loved their desserts and coffee �
Their Lava Cake ($9.90) was simply a chocolate lover's dream, as it was so rich with quality chocolate flavours! This paired well with the aromatic vanilla ice cream! I also loved the crunchy almond slices too, as they were fresh and added another dimension of texture to the lava cake.
We also tried many of their savoury main and side options, and they were all decent, but my favourite is still their Eggdrop Toast ($7). This was so similar to my favourite egg toast in Korea � the scrambled eggs were done right, as it was fluffy and creamy. Flavours were on point, with a sweet and savoury combination which just works. Definitely a brunch worthy dish, which I would get with coffee.
Speaking of which, I tried a bit of my friend's Mocha ($7.90) and I loved it! I wished I could have more of it but it was dinner time � Not only was it rich and chocolatey, you can still taste the aromatic coffee notes as it gets more prominent towards the end of the taste profile. Definitely would be an enjoyable cuppa. Iced Matcha ($7.9) was decent.
Definitely a cafe I will come back for, especially for their coffee and desserts. Thank you @thatfoodadv for inviting and @modcafesg for hosting us! Do note that seats are quite limited here!",5
"If you're around the area and don't mind some Kopitiam western food, @skinnychef_sg is an option you can go for!
I got myself a Half Spring Chicken ($8) with herb rice and sauteed mushrooms, and I was blown away by the size of the fried chicken. It was also well fried, as the crust was crispy and chicken within was succulent. The seasoning penetrated the chicken well, and I didn't need any sauce even for the breast portion. The batter itself had an interesting seasoning, as it was slightly sweet and salty which made it addictive.
My partner had Grilled Salmon ($14), which may appear dry but it was actually very succulent and tender within! It's interesting how they also separated the skin from the meat and grilled it into a crackling. That itself was addictive too!
Sides for all mains were just normal, nothing much to shout out about.
For finger food, both the Cheese Fries ($4.50) and Salt & Pepper Fish ($4.50) came in huge portions and they were just alright too.
I would come back for their Spring Chicken definitely! At the affordable price it's value for money! Thank you @skinnychef_sg for the food and @wantwoeatsg for the invite!",4
"If you love your durian, this is one dessert shop @dessertfirstsg to go for. Though there are some elements within the Durian Shaved Ice ($11.50) that I didn't like, there were some that I absolutely adored �
The Durian Shaved Ice comes with durian flavoured ice, durian cream, durian meat and durian ice cream. Eating all of them together was very satisfying, as it was so rich with durian flavours! The durian cream was so potent in flavour, and the durian meat was sweet, aromatic and just slightly bitter. I actually didn't like the ice cream and ice itself, as they seem to taste too artificial. Seems like their Durian Shaved Ice (a different dessert bowl) would be my option next time as they did not have the components that I didn't like!
As an avid durian lover, I'm definitely coming back for more!",4
"Finally tried @fatbird.sg and I was hooked! Their chicken pot was indeed very comforting and tasty �
We had the Large Chicken Pot ($38.80 - 30% off with #burpplebeyond ) and it came MASSIVE. The portion is definitely more than enough to feed 4-6 people, as they gave so much chicken within. The chicken pieces were very tender and well marinated as well. We got the original house special sauce, which was very comforting due to its sweet, savoury and spicy flavours.
As the pot mainly contains just chicken and Enoki mushrooms, I highly recommend ordering the vegetable platter ($13.80) to go with it. The platter came with a heaping amount of different vegetable types, including potato and lotus root which were great additions to the broth.
For starters, the Salted Egg Yolk Corn ($10.80) is a great sharing dish as it was sweet and savoury; a fun dish to munch on if you do order some beer!
Do note that their soup can get quite salty towards the end, and I recommend adding water instead of their broth at the end. Definitely coming back for their hearty chicken pot and massive portions �",5
"Located near Lavender MRT station, @crabwangimperialcatering offers a variety of zi-char dishes for families to enjoy. While I find the crab fried rice underwhelming, the other dishes were pretty decent. My favourite was actually the chicken stir fried with ginger and onions, as it was comforting and perfect with some rice.
You can follow them on FB with the similar usernames.
Thank you @foodleaguesg for the invite and @crabwangimperialcatering for the food!",3
"You know your food is going to be good when the Vietnamese servers start taking your orders quite angrily � and true enough the food here we had was very decent and definitely above average! It was an authentic experience as well as there were Vietnamese people dining around us!
To me, the Vietnamese Spring Rolls ($10) are a must order, as the crispy outer shell is just so inviting. The ones here are quite huge, and I'm glad they were stuffed with quite abit of pork meat. Pair them with the sweet chilli sauce and you got yourself a wonderful side �
The Rare Beef Noodle Soup ($9.50) was really comforting and the broth flavour was quite deep! Noodles were cooked just right and beef slices were tender. This is one hearty soup to have on rainy days! The portion was big as well.
Their Beef Stew with Baguette ($10) is also a must order. The beef cubes were really tender, and it was SO flavourful. It was both sweet and savoury and it was such a good stew to just dip the bread in. Speaking of which, the baguette or banh mi was perfectly baked; crispy on the outside and fluffy within. Give me that and the stew and I will be a happy man.
Dishes mentioned above are recommended! The rest were okay. I'm definitely coming back here if I'm around in the joo chiat region!",4
"Tried the popular @junecoffeesg recently and honestly based on the drinks we've had, we feel like it's overhyped �
The Iced Black Sesame Latte ($8) had a savoury black sesame cream that was fragrant at the start, but as you drink the coffee, the taste of the black sesame gets more and more subtle somehow. Coffee itself was decent, aromatic but nothing much to shout out about.
The Jasmine & Green Grape ($7.50) unfortunately fell short of expectations as the grapes used were sour and the flavour combination of the jasmine tea and sour grapes did not work out for us!
We queued for at least an hour as we had 4 people; they did not have many big tables so please take note! Just feel like you can get similar standards somewhere else without the queues...",2
"Quite unknown to the omakase scene here in Singapore, you will be surprised to know that @monte.risaia.sg is actually quite liked by the Japanese crowd, as 60-70% of their clientele are Japanese.
I had their 5 course lunch omakase ($98) and I left really satisfied! The whole experience was very intimate, as you can have small conversations with the Japanese chef and the Singaporean staff. Food items were simple and non-pretentious; you don't get really instagrammable food but the chef really knows how to bring out the best of fresh ingredients.
Take the Lobster Bisque for example, the soup seemed simple as it just had scallops within but the broth itself was so deep. You can taste the rich umami flavours and yet it was not too salty. Scallops were torched well for a smoky flavour and their meat itself was sweet.
Even their signature pasta was glorious, it was a simple fusion tomato pasta that was seasoned with garlic and shiso leaves but yet it was one of the best pasta I've had. Tomatoes were naturally sweet, the garlic flavours were brought out naturally, and best of all the pasta was perfectly al dente. The Japanese element of shiso leaves gave the pasta another dimension of flavours!
Definitely coming back again for more. Heard that their menu changes frequently so I can't wait for my next treat here!",5
"If you are looking for good coffee in Novena, @love.joy.coffee got you your cuppa! Located near the food court in Velocity, we had great cups of coffee there that left our hearts full and belly satisfied.
Their Petit White ($4.50) was a small cup of single shot hot latte that was just so smooth and rich. The aromatic scent of the coffee was very inviting, and it had the right hazelnut and chocolate notes. Their Iced Latte ($6) was also a great refreshing cup, with just the right amount of strength and milk within. This is one cup I can sip away slowly definitely!
Can't wait to be back for another cup �",5
"Most bars don't serve up quality food, but it's not the case here at @ichi.1sg because we all thoroughly enjoyed most of their dishes.
Their Hamachi Kama ($28) was just spot on. The skin was grilled till crispy, while the meat within was fresh, sweet and succulent! It was meaty pieces and the sweet salty marinade gave it so much flavour. Wished I had the whole plate to myself �
Their Scallop Mentaiko Pasta was so rich and full of Mentaiko as well; mentaiko lovers would rejoice! But this can be surfeiting so it's good to share!
Their Salted Egg Oyster Mushrooms are also a nice sharing dish. The oyster mushrooms were crispy and the salted egg sauce was glorious. Wished I had rice to mop them up �
Finally of course, you have to have pizza to share in a bar. Their Smoked Salmon Pizza came quite filled with smoked salmon pieces and cheese, and their crust can be quite crispy! I like it but for people who prefer a doughier crust may not so!
For drinks, @chorongchorong.official would be your go-to. They have a couple of flavours here, but personally, I like the Bohae raspberry wine instead as it's a sweet easy drink to begin with � quite rare to find this wine in Singapore bars!
One thing to note, is that they have live performances from Thurs to Sat. You can enjoy your good food with some good songs � There are daily alcohol promotions as well, like 2 beer towers for $108 on Monday, and 3 beer towers for $208 on Thursday. Prices of food can be abit steep here, but they do serve up good quality. In the heart of Clarke Quay, this is one bar for you to consider! You can reserve on chope and quote ""ICHIPLATTER"" to get a free plate of sashimi!",4
"@lolascafesg is not new to the cafe scene and among brunch lovers, but I'm glad that they opened a new outlet nearer to my neighbourhood! With a huge beautiful space, we had to get down to try their food and coffee �
Their Grilled Cheese Sandwich ($17) boasts a filling amount of melted cheese and they had such a deep rich flavour! Seasoned with aromatic herbs, this did not feel too surfeiting and definitely can be finished by one. If you like the sweet savoury combo, their paprika honey comes in handy! I must say I like my grilled cheese plain with just cheese and maybe ham, so this was interesting to me.
The Seafood Benedict ($20) came with 2 buns topped with a freshly fried seafood cake and poached eggs and this was lovely. The cake was filled with prawn and crab, and the aroma of dill was so inviting! A very satisfying meal �
As for their coffee, I loved their Iced Latte ($6.50) with the house blend, as it had great hazelnut and chocolate notes and it was so rich! The Iced Mocha ($7) was also good, as you can taste both the chocolate and coffee. Chocolate used was of high quality!
If you are thinking of a treat, this is a good place to consider. Will be back again!",4
"Putu Piring ($2.50 for 4) from Haig Road Putu Piring - now this is a famous one, and I couldn't leave the food centre without having it! Indeed this was probably the best Putu Piring I've had. The flour and gula melaka used was somehow different, it was much more aromatic than others that I've had before. A sweet treat to end the meal! �",5
"Pork and Chicken Satay ($0.80 each) from Mei Mei Satay - the satay meat was pretty sizeable! I loved the marinade used; it was well charred and it made the meat quite tender, even for the pork version. The satay sauce unfortunately isn't peanut-y enough, but it was fine for me as the pineapple juice helped cut the meatiness of satay!",5
"Signature Kolo Mee ($5.50) from Lin Yu Mei - now this is probably the best Kolo Mee I've had. The noodles were perfectly springy, well tossed in shallot and lard oil while not being too oily and the chilli was amazing. It was very fiery, and yet it had a beautiful aroma which made this dish even better. Never mind the minced meat and char siu, just give me their noodles and chilli and I will be a happy man.",5
"I recently had a chance to dine at @themadmanco, and managed to try a couple of small bites, burgers and hot sauces they offered! Here are some of my favourites:
Grilled Jamaican Jerk Wings ($15) - they can be a bit small and expensive, but they do pack a punch in terms of their flavour. The Jamaican Jerk marinade penetrated the meat well, giving it a nice savouriness with a touch of tangy notes. They were grilled well, as it was smoky as well.
They brought back their burgers from The Social Outcast, and the Meat Mafia ($26) was the one I preferred. Loads of meaty ingredients and cheese, the Wagyu patty was quite juicy. It does lack in seasoning for me, but this is when the hot sauces come in to make everything better. The Cholula Chipotle gave it additional flavour and made each bite a wholesome one! Vegan options for their burgers are available upon request!
Last but not least, the Cured Duck Prosciutto ($12) won my heart. The duck pieces were melt-in-the-mouth, and they gave so much umami. This complements well with the crispy grilled bread, as well as the bonito flakes!
I think this is an interesting concept, where you can come down to try the various hot sauces they have with the food they offer! Thank you @themadmanco for the food and @burpple for the food once again!",4
"If you haven't had the nian gao waffles at @thebetterscoop yet, it's time to do it this weekend. I absolutely fell in love with the rendition at their new Anchovale Village outlet as it was just so good!
The Nian Gao Waffles ($6.80) we've got came crispy on the outside and fluffy on the inside. I like how buttery and aromatic their waffles were, and that they gave a rather huge portion of Nian Gao! This gives them a chewy texture which was well appreciated.
To go with their waffles, we got their Peanut and Black Sesame Muah Chee and Tie Guan Yin ($9.50 for both scoops). The peanut and black sesame muah chee was such an awesome flavour, as it tasted very much like the muah chee I used to eat often as a kid. Both flavours in the gelato were pronounced and complemented each other so well! There were additional muah chee cubes within too. The Tie Guan Yin flavour was much lighter yet still fragrant, perfect for those who prefer a more refreshing taste. Both flavours are absolutely recommended.
Can't wait for my next time here! Definitely one of the best nian gao waffles I've had!",5
"Buangkok peeps should rejoice, as there's now a quality and affordable pizza kiosk in your area �
@eatnowpizza offers affordable 9 inch pizzas, with most going at $10.90. At such prices you get handmade sourdough pizza that is pretty loaded with ingredients! My favourite was the Meat Mania ($10.90) pizza, as the sauce was spot on with its strong savouriness and there were loads of ingredients like ham, pepperoni and cheese � the stretchy sourdough crust was such a joy to eat, as it was really tasty on its own and had a great mouth feel!
If you like sweet savoury flavours, the Spicy Beef Pepperoni ($10.90) would be your choice. Not only you get a good savoury meaty flavour, the spicy paprika honey added sweetness and some heat that was well appreciated!
The Chicken Tenders ($6.90) and Mozzarella Cheese Sticks ($4.90) were okay, nothing much to shout out about. However, their pizzas are really worth trying! At such a price and quality, I would grab this for lunch or dinner if I'm staying nearby! Thank you @eatnowpizza for the invite and food!",4
"Hidden among the landed estates, @bitesnbrews_sg offers a variety of western fare that does not seem to be commonly sold. Prices can be quite steep, but I must say with the lovely vintage deco and the chill vibes, this place is quite date worthy!
The Spinach Tagliatelle ($26) came with a heaping amount of rockett leaves � the spinach pasta below is quite al dente, and well seasoned with spices and loads of savoury capers. Prawns were fresh!
The Grilled Australian Wagyu Rib-eye ($48) was tender and quite juicy. It could do with a bit more seasoning, though the sauce below does help in making it better. Do note that the sauce is on a sweeter and sour side, so these 2 flavours are more prominent, contrary to the usual salt and pepper seasoning to steaks.
Now their desserts are an eye catcher. The Warm Berry Galette ($23) was similar to a berry pie, and it was really refreshing with its tangy notes! The crust is on the softer side, and the strawberry camomile gelato made it even nicer. Loved the hot and cold combination!
Drinks were okay, and the food overall was decent. A pretty cafe to visit for a date perhaps? Thank you @bitesnbrews_sg for the invite and food!",4
"Known among the local crowd for gelato and waffles, @chatters_gelato offers more than just desserts, as they can also whip up some quick bites and delicious sandwiches!
Their Smoked Salmon Tartar Twist ($11.90) came stuffed full of ingredients and the combination tasted pretty delicious! There was a good blend of savoury and tangy flavours, with the umami of smoked salmon coming through strongly. Admittedly, I do hope that the sandwich was served cold!
As for their desserts, between their Mochi Waffles and Croffles, I do prefer their croffles more. Crispy and buttery, I loved the chewy texture within as well � You have to get their durian gelato to go with their croffle, as it was so rich and aromatic, perfect for durian lovers!
Their Iced Latte ($6.20) was good as well, as it was quite a strong cuppa. Thank you @chatters_gelato for the food and @foodiecouplecm for the invite!",4
"Found a hidden gem in the heart of the novena area! @thecluelessgoat offers affordable delicious brunch fares that is good for work lunches around here �
I had the Scrambled Eggs on Toast ($8.50) which was pretty affordable considering the price of such brunch fare elsewhere. The scrambled eggs were very well done, as it was creamy and well seasoned. I also loved the stretchy cheese below, and the chewy sourdough.
If you are in a bigger group, getting their truffle fries ($9) is a good idea as it was so big! The portion can easily be shared among 3-4 people. The shaved cheese on top is well appreciated but do note that the truffle taste is not so prominent. Fries were crispy, but not too fluffy inside. Quite decent but of course not the best!
Their Iced Latte ($7) was also delicious, as it was strong, not too milky and of a medium roast. Not too acidic, it was a decent cup to enjoy!
All in all, I would come back as their food items are value for money!",4
"Kanada-Ya recently released their Mala series, which includes soup ramen, Mazesoba as well as some side dishes. We tried many of them and they were delicious ~~
The Mala Tonkotsu Ramen ($16.90) was indeed quite spicy, with much of the spice kicking in at the back of your throat. The pork broth itself was very lovely, with deep pork bone flavours almost shouting in your face. Noodles were alright, thought I wish they could be more al dente. Do note that it tastes more like spicy tonkotsu than mala! Definitely a decent ramen to get for spicy lovers.
I actually love their Mala Mazesoba ($12.90) more, as the mala flavours are more pronounced. The noodles are much chewier here and umami flavours from the meat were strong too! Definitely a spicy bowl but will be addictive to some!
Everyone, we have come to the best item we had ordered, which is their Mala Fried Chicken ($8.90). This came in huge chunks, and they were so tender and juicy. Fat from the chicken almost dripped down as I bit into it! It was well seasoned all the way through the chicken meat and the mala paste did well in enhancing the flavours more.
Honestly I'm not a big spicy eater, but the normal variations of their dishes are good. Definitely coming back for their non spicy variations for my ramen fix! Thank you @kanadaya.sg for inviting and for the food!",5
"If you are looking for solid coffee in an aesthetic environment, look no further as @alchemist.sg had done it right. They have repurposed the old Khong Guan factory as their cafe, giving it a good mix of both retro and modern vibes!
I ordered the Iced Latte ($7) and it was such an enjoyable cup. It was not too acidic, yet strong enough with deep hazelnut and chocolate notes. It had the perfect amount of milk for the strength of coffee. I loved that it was smooth and rich, perfectly for a long sip throughout the afternoon.
If I'm around the area, I'm definitely coming back to Alchemist for a good coffee break!",5
"Had a wonderful time feasting with @doudou.eats and @foodspo.koh at @haeclaypotsg lately, and we loved their prawn claypot � I believe this is the prawn claypot with the most flavourful broth I've tasted so far, and their seafood prawn flavour was so deep � if you like your broth lighter, you can refill with their collagen soup instead � the prawns within the pot were massive as well, and I love how the meat snaps so well when you bite into them!
For the other ingredients, they were all fresh and we loved the Signature Marinated Beef ($9.80) the best. It was really tender and well seasoned too! Their Golden Fungus ($8.80) was interesting as well, as it had a snappy texture and it absorbed the broth well.
If you just like a light meal here, their Hae Mi ($10.80) is quite decent, with 3 large prawns. The pork lard was fresh and the broth used to cook it was flavourful. All it lacked was some bit of wok hei.
All in all, their prawn claypot is a must try if you love your prawn soup! Thank you @haeclaypotsg for inviting �",5
"Found a gem that would make a great lunch spot here in Tai Seng! Hidden among the many food choices in Grantral Mall, @taifengweisg offers many rice and noodle options and they were all pretty excellent �
I had the Fried Pork Chop Shallot Sauce Noodles ($8.40) and the pork chop was just fantastic. It was well fried, not too oily and yet slightly crispy on the outside. The meat was well seasoned, juicy and tender! The noodles were slightly al dente, but the sauce may be a little one dimensional. That can be helped by adding their homemade chilli sauce, which gives so much additional flavours!
But the star of the show is really their wantons. Their Chilli Oil and Vinegar Wantons ($9.40 for 5) may seem expensive, but they came really huge. They were stuffed full of pork and shrimp meat mix, which were seasoned very well. Chilli oil and vinegar just made them even better!
Definitely coming back for more, especially their fried rice. Tried a mouthful from my friend's plate and it was splendid!",4
"Sometimes, even on really sunny days, I will crave for a good stew to fill up not only my stomach, but my heart as well. The Soondubu or Seafood Tofu Stew ($16) from Hoodadak does just that with their flavourful soup and plentiful ingredients. I wouldn't say they are the best, but they are decent enough to come back for more. Seafood is quite fresh, and I do love the egg drop within the stew that made it even more satisfying.
Loved their side dishes as well, as they have about 4 on rotation. This is my go-to Korean food when I'm here in one north!",4
"Finally, clams with huge meat that I can feel and taste! @kallangclaypotlala is one of the new additions to the lala claypot scene, serving up huge clams and flavourful broth. Their clams were very fresh, and their broth was deep but not too salty. We got a variety of ingredients to go with the hotpot, and my favourite was their chunky fish slices, which were flaky and sweet. With many premium ingredients, our bill ranked up to about $130 and it was enough for about 4-5 people. We all find it quite decently priced considering the amount of food we ordered!
Great for the people around the area to bring their friends and families along. Thank you @wantwoeatsg for the invite and @kallangclaypotlala for the food!",5
"Recently back to fuel plus for their delicious food items after some time and I'm happy to report that it's still as good as ever!
The Croffle & Truffle Mushroom ($19) was a total pleasure to have. The moment you have a thick rich truffle sauce and mushrooms, you know there's gonna be loads of umami. The scrambled eggs was done just right, and the Croffle was fluffy, almost like a roti prata!
Next we have the Pesto Eggs with Cajun Shrimp ($20), and being a pesto lover, this was very decent. The pesto eggs were done just right, and complemented well with their homemade sourdough. The shrimps were well grilled, and had a strong smoky flavour which was much appreciated.
Lastly we have the Grilled Seabass (~$25 with side and drink), which was very fresh and well seasoned and grilled. Each piece was very sweet and flaky, and the mashed potato was wonderfully creamy. The truffle tator tots as the side were highly addictive, due to its very crispy exterior.
Definitely no complaints with all the dishes we had, maybe just the long waiting time we had to endure before getting all our food. I'm guessing they might have a shortage of kitchen staff or just not used to large group orders! What's even better is that you can use #burpplebeyond for 30% off their food items! Will be back �",5
"If you haven't heard already, @suukeecoffeesg is known for their delicious taro orh nee toasts, and we went back for their other variations, as well as their lunch fare �
Among the many variations, the one with coconut flakes ($3.80) and with pork floss ($4.20) appealed to me the most, as not only you get a good creamy orh nee flavour, you get more rich coconut flavour from the fresh shavings, and savouriness from the pork floss respectively! Loved the added texture too!
For their lunch fare, the Curry Chicken ($8.50) is one comforting bowl to get. The curry itself is rich yet homely, and the chicken was tender! The potato was well cooked as well. Definitely a meal to give you the needed energy to power through your afternoon. As for their Char Siew Scrambled Egg Rice Bowl ($9.50), it was a good alternative as well, especially with its fluffy egg and tender char siew.
To complement your meal, you must get their Orh Nee Iced Coffee ($4.80), as it was so delicious! The orh nee complemented the strong coffee well, and you can taste both flavours well. It comes with several toppings as well, including taro balls!
Can't wait for my next time to Suu Kee � they do have limited space so do come early if you are here for lunch! Thank you @suukeecoffeesg for the wonderful meal!",5
